,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,gorizia,0,TC,1554358649,99,21.46,-71.14,298.849,8.22
1,gorizia,0,NG,1554358826,68,10.88,4.75,295.649,1.52
2,gorizia,75,AR,1554354000,87,-41.13,-71.31,280.15,5.1
3,gorizia,88,RU,1554358646,100,73.51,80.55,268.099,8.07
4,gorizia,64,LA,1554358827,84,18.39,103.66,299.449,1.07
5,gorizia,75,BN,1554357600,62,5.28,115.24,305.15,2.6
6,gorizia,40,US,1554358405,69,22.08,-159.32,296.15,5.7
7,gorizia,92,CA,1554358675,75,49.88,-106.56,278.649,6.47
8,gorizia,90,AU,1554358518,69,-20.01,148.25,300.93,9.8
9,gorizia,80,AR,1554358626,59,-38.31,-60.23,290.099,5.92
10,gorizia,24,PF,1554358790,100,-16.48,-151.75,301.899,2.72
11,gorizia,56,RU,1554358828,83,57.8,158.67,275.749,7.12
12,gorizia,64,RU,1554358828,81,46.17,45.34,279.549,4.97
13,gorizia,20,US,1554358441,44,42.65,-73.75,277.04,7.2
14,gorizia,40,MU,1554358443,70,-19.98,57.61,303.15,3.1
15,gorizia,90,AR,1554354000,80,-54.81,-68.31,277.15,1.5
16,gorizia,40,NO,1554357000,85,78.22,15.63,262.15,2.1
17,gorizia,92,FO,1554357000,99,62.23,-6.59,277.15,2.1
18,gorizia,0,PL,1554358830,68,54.58,16.86,281.899,8.87
19,gorizia,0,PF,1554358620,100,-23.12,-134.97,297.649,8.17
20,gorizia,1,US,1554358663,31,39.31,-74.98,284.82,1.5
21,gorizia,44,RU,1554358831,84,65.44,52.15,274.149,2.67
22,gorizia,36,EC,1554358633,100,-0.74,-90.35,298.849,2.47
23,gorizia,36,TL,1554358733,60,-8.93,125.41,300.349,1.17
24,gorizia,75,CA,1554354000,83,69.44,-133.03,253.15,4.1
25,gorizia,80,GL,1554358642,81,77.48,-69.36,263.199,5.02
26,gorizia,0,RU,1554358719,94,70.62,147.9,266.249,2.07
27,gorizia,32,AU,1554358599,34,-33.64,115.35,293.71,11.57
28,gorizia,0,RU,1554358832,92,65.4,64.7,274.799,2.82
29,gorizia,44,KM,1554358493,100,-12.28,43.74,301.299,4.12
30,gorizia,44,RU,1554358833,94,71.97,114.09,271.999,4.57
31,gorizia,56,MV,1554358631,100,-0.6,73.08,300.449,2.22
32,gorizia,48,ET,1554358677,75,8.96,38.73,289.599,1.67
33,gorizia,90,CA,1554354000,84,68.36,-133.71,255.15,1.5
34,gorizia,88,NZ,1554358205,70,-46.19,168.86,284.82,1.79
35,gorizia,44,CD,1554358834,96,-6.48,16.82,293.899,1.07
36,gorizia,88,RU,1554358786,96,67.55,63.78,272.049,5.92
37,gorizia,75,AU,1554358743,72,-34.58,150.85,294.82,4.6
38,gorizia,1,US,1554357360,63,60.79,-161.76,274.15,11.3
39,gorizia,92,PG,1554358835,100,-2.57,150.8,298.899,0.92
40,gorizia,20,IR,1554355800,70,38.55,44.95,282.15,1.0
41,gorizia,90,US,1554358649,34,39.95,-94.76,284.26,9.8
42,gorizia,20,CN,1554358836,50,33.08,107.03,291.699,1.02
